=== SIMPLE LEXICAL ANALYZER OUTPUT ===

------------- SYMBOL TABLE -------------
 Line |   Col | Token           | Lexeme
   145 |      5 | IDENTIFIER      | print
   145 |     10 | LPAREN          | (
   145 |     11 | IDENTIFIER      | c
   145 |     12 | RPAREN          | )
   145 |      1 | NEWLINE         | \n
   146 |      1 | KEYWORD         | end
   146 |      1 | NEWLINE         | \n
   147 |      1 | NEWLINE         | \n
   148 |      1 | RESERVED        | object
   148 |      7 | WHITESPACE      |  
   148 |      8 | RESERVED        | main
   148 |      1 | NEWLINE         | \n
   149 |      1 | WHITESPACE      |     
   149 |      5 | RESERVED        | system
   149 |     11 | WHITESPACE      |  
   149 |     12 | ASSIGN_OP       | =
   149 |     13 | WHITESPACE      |  
   149 |     14 | STRING          | SIMPLE Lexical Analyzer
   149 |      1 | NEWLINE         | \n
   150 |      1 | WHITESPACE      |     
   150 |      5 | RESERVED        | for
   150 |      8 | WHITESPACE      |  
   150 |      9 | IDENTIFIER      | i
   150 |     10 | WHITESPACE      |  
   150 |     11 | ASSIGN_OP       | =
   150 |     12 | WHITESPACE      |  
   150 |     13 | INT             | 0
   150 |     15 | NOISE           | to
   150 |     17 | WHITESPACE      |  
   150 |     18 | INT             | 5
   150 |      1 | NEWLINE         | \n
   151 |      1 | WHITESPACE      |         
   151 |      9 | KEYWORD         | show
   151 |     13 | WHITESPACE      |  
   151 |     14 | STRING          | Iteration number: 
   151 |     34 | WHITESPACE      |  
   151 |     35 | ARITH_OP        | +
   151 |     36 | WHITESPACE      |  
   151 |     37 | IDENTIFIER      | i
   151 |      1 | NEWLINE         | \n
   152 |      1 | WHITESPACE      |     
   152 |      5 | KEYWORD         | end
   152 |      1 | NEWLINE         | \n
   153 |      1 | NEWLINE         | \n
   154 |      1 | WHITESPACE      |     
   154 |      5 | KEYWORD         | let
   154 |      8 | WHITESPACE      |  
   154 |      9 | IDENTIFIER      | value
   154 |     14 | WHITESPACE      |  
   154 |     15 | ASSIGN_OP       | =
   154 |     16 | WHITESPACE      |  
   154 |     17 | RESERVED        | null
   154 |      1 | NEWLINE         | \n
   155 |      1 | WHITESPACE      |     
   155 |      5 | KEYWORD         | if
   155 |      7 | WHITESPACE      |  
   155 |      8 | IDENTIFIER      | value
   155 |     13 | WHITESPACE      |  
   155 |     14 | REL_OP          | ==
   155 |     17 | RESERVED        | null
   155 |     21 | WHITESPACE      |  
   155 |     22 | NOISE           | then
   155 |      1 | NEWLINE         | \n
   156 |      1 | WHITESPACE      |         
   156 |      9 | RESERVED        | error
   156 |     14 | WHITESPACE      |  
   156 |     15 | ASSIGN_OP       | =
   156 |     16 | WHITESPACE      |  
   156 |     17 | STRING          | Null value detected
   156 |      1 | NEWLINE         | \n
   157 |      1 | WHITESPACE      |         
   157 |      9 | KEYWORD         | show
   157 |     13 | WHITESPACE      |  
   157 |     14 | RESERVED        | error
   157 |      1 | NEWLINE         | \n
   158 |      1 | WHITESPACE      |     
   158 |      5 | KEYWORD         | end
   158 |      1 | NEWLINE         | \n
   159 |      1 | NEWLINE         | \n
   160 |      1 | WHITESPACE      |     
   160 |      5 | IDENTIFIER      | exit
   160 |      1 | NEWLINE         | \n
   161 |      1 | KEYWORD         | end
   161 |      4 | LEXICAL_ERROR   | ;
   161 |      1 | NEWLINE         | \n
   162 |      1 | NEWLINE         | \n
   163 |      1 | RESERVED        | object
   163 |      7 | WHITESPACE      |  
   163 |      8 | RESERVED        | main
   163 |      1 | NEWLINE         | \n
   164 |      1 | WHITESPACE      |     
   164 |      5 | COMMENT         | // === CONSTANT VALUES TEST ===
   165 |      1 | NEWLINE         | \n
   166 |      1 | WHITESPACE      |     
   166 |      5 | DATATYPE        | int
   166 |      5 | WHITESPACE      |     
   166 |     12 | IDENTIFIER      | wholeNum
   166 |     20 | WHITESPACE      |  
   166 |     21 | ASSIGN_OP       | =
   166 |     22 | WHITESPACE      |  
   166 |     23 | INT             | 10
   166 |      1 | NEWLINE         | \n
   167 |      1 | WHITESPACE      |     
   167 |      5 | DATATYPE        | float
   167 |      9 | WHITESPACE      |   
   167 |     12 | IDENTIFIER      | piValue
   167 |     18 | WHITESPACE      |   
   167 |     21 | ASSIGN_OP       | =
   167 |     22 | WHITESPACE      |  
   167 |     23 | FLOAT           | 3.14159
   167 |      1 | NEWLINE         | \n
   168 |      1 | WHITESPACE      |     
   168 |      5 | DATATYPE        | char
   168 |      7 | WHITESPACE      |    
   168 |     12 | IDENTIFIER      | letter
   168 |     16 | WHITESPACE      |    
   168 |     21 | ASSIGN_OP       | =
   168 |     22 | WHITESPACE      |  
   168 |     23 | CHAR            | A
   168 |      1 | NEWLINE         | \n
   169 |      1 | WHITESPACE      |     
   169 |      5 | DATATYPE        | string
   169 |     11 | WHITESPACE      |  
   169 |     12 | IDENTIFIER      | message
   169 |     18 | WHITESPACE      |   
   169 |     21 | ASSIGN_OP       | =
   169 |     22 | WHITESPACE      |  
   169 |     23 | STRING          | Hello World
   169 |      1 | NEWLINE         | \n
   170 |      1 | NEWLINE         | \n
   171 |      1 | WHITESPACE      |     
   171 |      5 | DATATYPE        | text
   171 |      9 | WHITESPACE      |  
   171 |     10 | IDENTIFIER      | description
   171 |     21 | WHITESPACE      |  
   171 |     22 | ASSIGN_OP       | =
   171 |     23 | WHITESPACE      |  
   171 |     24 | TEXT            | 
This is a TEXT literal. It supports multiple lines.It includes ASCII characters: !@#$%^&*()

   173 |      1 | NEWLINE         | \n
   174 |      1 | NEWLINE         | \n
   175 |      1 | WHITESPACE      |     
   175 |      5 | DATATYPE        | secure
   175 |     11 | WHITESPACE      |  
   175 |     12 | IDENTIFIER      | password
   175 |     20 | WHITESPACE      |  
   175 |     21 | ASSIGN_OP       | =
   175 |     22 | WHITESPACE      |  
   175 |     23 | SECURE          | MySecureKey123
   175 |      1 | NEWLINE         | \n
   176 |      1 | NEWLINE         | \n
   177 |      1 | WHITESPACE      |     
   177 |      5 | DATATYPE        | bool
   177 |      9 | WHITESPACE      |  
   177 |     10 | IDENTIFIER      | flagTrue
   177 |     17 | WHITESPACE      |   
   177 |     20 | ASSIGN_OP       | =
   177 |     21 | WHITESPACE      |  
   177 |     22 | BOOL            | true
   177 |      1 | NEWLINE         | \n
   178 |      1 | WHITESPACE      |     
   178 |      5 | DATATYPE        | bool
   178 |      9 | WHITESPACE      |  
   178 |     10 | IDENTIFIER      | flagFalse
   178 |     19 | WHITESPACE      |  
   178 |     20 | ASSIGN_OP       | =
   178 |     21 | WHITESPACE      |  
   178 |     22 | BOOL            | false
   178 |      1 | NEWLINE         | \n
   179 |      1 | NEWLINE         | \n
   180 |      1 | WHITESPACE      |     
   180 |      5 | DATATYPE        | time
   180 |      9 | WHITESPACE      |  
   180 |     10 | IDENTIFIER      | nowTime
   180 |     17 | WHITESPACE      |  
   180 |     18 | ASSIGN_OP       | =
   180 |     19 | WHITESPACE      |  
   180 |     20 | TIME            | 14:25:56
   180 |      1 | NEWLINE         | \n
   181 |      1 | WHITESPACE      |     
   181 |      5 | DATATYPE        | date
   181 |      9 | WHITESPACE      |  
   181 |     10 | IDENTIFIER      | today
   181 |     13 | WHITESPACE      |    
   181 |     18 | ASSIGN_OP       | =
   181 |     19 | WHITESPACE      |  
   181 |     20 | DATE            | 2025-11-24
   181 |      1 | NEWLINE         | \n
   182 |      1 | WHITESPACE      |     
   182 |      5 | DATATYPE        | timestamp
   182 |     14 | WHITESPACE      |  
   182 |     15 | IDENTIFIER      | logEntry
   182 |     23 | WHITESPACE      |  
   182 |     24 | ASSIGN_OP       | =
   182 |     25 | WHITESPACE      |  
   182 |     26 | TIMESTAMP       | 2025-11-24 14:26:00
   182 |      1 | NEWLINE         | \n
   183 |      1 | NEWLINE         | \n
   184 |      1 | WHITESPACE      |     
   184 |      5 | DATATYPE        | array
   184 |     10 | WHITESPACE      |  
   184 |     11 | IDENTIFIER      | numbers
   184 |     18 | WHITESPACE      |  
   184 |     19 | ASSIGN_OP       | =
   184 |     20 | WHITESPACE      |  
   184 |     21 | ARRAY           | 1, 2, 3, 4, 5
   184 |      1 | NEWLINE         | \n
   185 |      1 | WHITESPACE      |     
   185 |      5 | DATATYPE        | collection
   185 |     15 | WHITESPACE      |  
   185 |     16 | IDENTIFIER      | words
   185 |     21 | WHITESPACE      |  
   185 |     22 | ASSIGN_OP       | =
   185 |     23 | WHITESPACE      |  
   185 |     24 | COLLECTION      | "alpha", "beta", "gamma"
   185 |      1 | NEWLINE         | \n
   186 |      1 | NEWLINE         | \n
   187 |      1 | WHITESPACE      |     
   187 |      5 | COMMENT         | // End of constant test
   188 |      1 | KEYWORD         | end
   188 |      1 | NEWLINE         | \n
   189 |      1 | NEWLINE         | \n

--- Token Summary ---
COMMENT     : 6
NEWLINE     : 182
KEYWORD     : 85
WHITESPACE  : 338
IDENTIFIER  : 102
REL_OP      : 14
INT         : 24
FLOAT       : 3
CHAR        : 1
STRING      : 37
DATATYPE    : 27
ARRAY       : 3
COLLECTION  : 1
LEXICAL_ERROR: 3
RESERVED    : 12

Total tokens (including whitespace/newlines): 950
Total tokens (excluding whitespace/newlines): 430

Errors (3):
  - Invalid token ';' at line 22, col 7
  - Invalid token ';' at line 85, col 4
  - Invalid token ';' at line 161, col 4
